name,unit,ea5ccbc7fd64d270b2972293f942575bc9f7cd0d
synthetic-homotopy-theory.descent-circle-equivalence-types,ms,337
complex-numbers.gaussian-integers,ms,336
foundation.dependent-binomial-theorem,ms,336
commutative-algebra.isomorphisms-commutative-rings,ms,336
linear-algebra.right-modules-rings,ms,336
category-theory.precategory-of-maps-from-small-to-large-precategories,ms,336
foundation.propositional-truncations,ms,335
category-theory.precategory-of-functors-from-small-to-large-precategories,ms,335
elementary-number-theory.universal-property-integers,ms,335
lists.tuples,ms,335
linear-algebra.linear-spans-left-modules-rings,ms,330
order-theory.order-preserving-maps-posets,ms,329
lists.universal-property-lists-wild-monoids,ms,328
univalent-combinatorics.ferrers-diagrams,ms,327
category-theory.natural-transformations-maps-categories,ms,327
group-theory.minkowski-multiplication-semigroups,ms,327
foundation.universal-property-fiber-products,ms,326
foundation-core.truncated-maps,ms,325
group-theory.subgroups-generated-by-elements-groups,ms,325
